acceleration,weight,cylinders
12,3504,8
11.5,3693,8
11,3436,8
12,3433,8
10.5,3449,8
10,4341,8
9,4354,8
8.5,4312,8
10,4425,8
8.5,3850,8
17.5,3090,4
11.5,4142,8
11,4034,8
10.5,4166,8
11,3850,8
10,3563,8
8,3609,8
8,3353,8
9.5,3761,8
10,3086,8
15,2372,4
15.5,2833,6
15.5,2774,6
16,2587,6
14.5,2130,4
20.5,1835,4
17.5,2672,4
14.5,2430,4
17.5,2375,4
12.5,2234,4
15,2648,6
14,4615,8
15,4376,8
13.5,4382,8
18.5,4732,8
14.5,2130,4
15.5,2264,4
14,2228,4
19,2046,4
20,1978,4
13,2634,6
15.5,3439,6
15.5,3329,6
15.5,3302,6
15.5,3288,6
12,4209,8
11.5,4464,8
13.5,4154,8
13,4096,8
11.5,4955,8
12,4746,8
12,5140,8
13.5,2962,6
19,2408,4
15,3282,6
14.5,3139,6
14,2220,4
14,2123,4
19.5,2074,4
14.5,2065,4
19,1773,4
18,1613,4
19,1834,4
20.5,1955,4
15.5,2278,4
17,2126,4
23.5,2254,4
19.5,2408,4
16.5,2226,4
12,4274,8
12,4385,8
13.5,4135,8
13,4129,8
11.5,3672,8
11,4633,8
13.5,4502,8
13.5,4456,8
12.5,4422,8
13.5,2330,3
12.5,3892,8
14,4098,8
16,4294,8
14,4077,8
14.5,2933,4
18,2511,4
19.5,2979,4
18,2189,4
16,2395,4
17,2288,4
14.5,2506,4
15,2164,4
16.5,2100,4
13,4100,8
11.5,3672,8
13,3988,8
14.5,4042,8
12.5,3777,8
11.5,4952,8
12,4464,8
13,4363,8
14.5,4237,8
11,4735,8
11,4951,8
11,3821,8
16.5,3121,6
18,3278,6
16,2945,6
16.5,3021,6
16,2904,6
21,1950,4
14,4997,8
12.5,4906,8
13,4654,8
12.5,4499,8
15,2789,6
19,2279,4
19.5,2401,4
16.5,2379,4
13.5,2124,3
18.5,2310,4
14,2472,6
15.5,2265,4
13,4082,8
9.5,4278,8
19.5,1867,4
15.5,2158,4
14,2582,4
15.5,2868,4
11,3399,8
14,2660,4
13.5,2807,6
11,3664,8
16.5,3102,6
17,2875,6
16,2901,6
17,3336,6
19,1950,4
16.5,2451,4
21,1836,4
17,2542,4
17,3781,6
18,3632,6
16.5,3613,6
14,4141,8
14.5,4699,8
13.5,4457,8
16,4638,8
15.5,4257,8
16.5,2219,4
15.5,1963,4
14.5,2300,4
16.5,1649,4
19,2003,4
14.5,2125,4
15.5,2108,4
14,2246,4
15,2489,4
15.5,2391,4
16,2000,4
16,3264,6
16,3459,6
21,3432,6
19.5,3158,6
11.5,4668,8
14,4440,8
14.5,4498,8
13.5,4657,8
21,3907,6
18.5,3897,6
19,3730,6
19,3785,6
15,3039,6
13.5,3221,8
12,3169,8
16,2171,4
17,2639,4
16,2914,6
18.5,2592,4
13.5,2702,4
16.5,2223,4
17,2545,4
14.5,2984,6
14,1937,4
17,3211,6
15,2694,4
17,2957,4
14.5,2945,4
13.5,2671,4
17.5,1795,4
15.5,2464,4
16.9,2220,4
14.9,2572,4
17.7,2255,4
15.3,2202,4
13,4215,8
13,4190,8
13.9,3962,8
12.8,4215,8
15.4,3233,6
14.5,3353,6
17.6,3012,6
17.6,3085,6
22.2,2035,4
22.1,2164,4
14.2,1937,4
17.4,1795,4
17.7,3651,6
21,3574,6
16.2,3645,6
17.8,3193,6
12.2,1825,4
17,1990,4
16.4,2155,4
13.6,2565,4
15.7,3150,4
13.2,3940,8
21.9,3270,4
15.5,2930,6
16.7,3820,6
12.1,4380,8
12,4055,8
15,3870,8
14,3755,8
18.5,2045,4
14.8,2155,4
18.6,1825,4
15.5,2300,4
16.8,1945,4
12.5,3880,8
19,4060,8
13.7,4140,8
14.9,4295,8
16.4,3520,6
16.9,3425,6
17.7,3630,6
19,3525,6
11.1,4220,8
11.4,4165,8
12.2,4325,8
14.5,4335,8
14.5,1940,4
16,2740,4
18.2,2265,4
15.8,2755,4
17,2051,4
15.9,2075,4
16.4,1985,4
14.1,2190,4
14.5,2815,6
12.8,2600,4
13.5,2720,3
21.5,1985,4
14.4,1800,4
19.4,1985,4
18.6,2070,4
16.4,1800,4
15.5,3365,8
13.2,3735,8
12.8,3570,8
19.2,3535,6
18.2,3155,6
15.8,2965,6
15.4,2720,4
17.2,3430,6
17.2,3210,6
15.8,3380,6
16.7,3070,6
18.7,3620,6
15.1,3410,6
13.2,3425,8
13.4,3445,6
11.2,3205,8
13.7,4080,8
16.5,2155,4
14.2,2560,4
14.7,2300,4
14.5,2230,4
14.8,2515,4
16.7,2745,4
17.6,2855,4
14.9,2405,4
15.9,2830,5
13.6,3140,6
15.7,2795,4
15.8,3410,6
14.9,1990,4
16.6,2135,4
15.4,3245,6
18.2,2990,6
17.3,2890,4
18.2,3265,6
16.6,3360,6
15.4,3840,8
13.4,3725,8
13.2,3955,8
15.2,3830,8
14.9,4360,8
14.3,4054,8
15,3605,8
13,3940,8
14,1925,4
15.2,1975,4
14.4,1915,4
15,2670,4
20.1,3530,5
17.4,3900,8
24.8,3190,4
22.2,3420,8
13.2,2200,4
14.9,2150,4
19.2,2020,4
14.7,2130,4
16,2670,4
11.3,2595,6
12.9,2700,6
13.2,2556,4
14.7,2144,4
18.8,1968,4
15.5,2120,4
16.4,2019,4
16.5,2678,4
18.1,2870,4
20.1,3003,4
18.7,3381,6
15.8,2188,4
15.5,2711,4
17.5,2542,4
15,2434,4
15.2,2265,4
17.9,2110,4
14.4,2800,4
19.2,2110,4
21.7,2085,4
23.7,2335,4
19.9,2950,5
21.8,3250,4
13.8,1850,4
17.3,1835,4
18,2145,4
15.3,1845,4
11.4,2910,6
12.5,2420,3
15.1,2500,4
14.3,2905,4
17,2290,4
15.7,2490,4
16.4,2635,4
14.4,2620,4
12.6,2725,6
12.9,2385,4
16.9,1755,4
16.4,1875,4
16.1,1760,4
17.8,2065,4
19.4,1975,4
17.3,2050,4
16,1985,4
14.9,2215,4
16.2,2045,4
20.7,2380,4
14.2,2190,4
15.8,2320,4
14.4,2210,4
16.8,2350,4
14.8,2615,4
18.3,2635,4
20.4,3230,4
15.4,2800,4
19.6,3160,6
12.6,2900,6
13.8,2930,6
15.8,3415,6
19,3725,8
17.1,3060,6
16.6,3465,6
19.6,2605,4
18.6,2640,4
18,2395,4
16.2,2575,4
16,2525,4
18,2735,4
16.4,2865,4
20.5,3035,4
15.3,1980,4
18.2,2025,4
17.6,1970,4
14.7,2125,4
17.3,2125,4
14.5,2160,4
14.5,2205,4
16.9,2245,4
15,1965,4
15.7,1965,4
16.2,1995,4
16.4,2945,6
17,3015,6
14.5,2585,4
14.7,2835,6
13.9,2665,4
13,2370,4
17.3,2950,4
15.6,2790,4
24.6,2130,4
11.6,2295,4
18.6,2625,4
19.4,2720,4
