Time (s),Speed (mph)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.23
22,0.7
23,1.22
24,1.57
25,1.74
26,1.91
27,2.08
28,2.24
29,2.34
30,2.45
31,2.56
32,2.69
33,2.83
34,2.94
35,3.06
36,3.15
37,3.22
38,3.3
39,3.41
40,3.52
41,3.63
42,3.75
43,3.86
44,4
45,4.15
46,4.31
47,4.66
48,5.2
49,5.7
50,5.97
51,5.98
52,5.88
53,5.75
54,5.7
55,5.7
56,5.65
57,5.53
58,5.4
59,5.41
60,5.55
61,5.79
62,6.08
63,6.38
64,6.65
65,6.88
66,7.13
67,7.45
68,7.78
69,8.12
70,8.45
71,8.76
72,9.01
73,9.15
74,9.2
75,9.11
76,9.03
77,8.87
78,8.66
79,8.35
80,7.22
81,5.39
82,3.4
83,2.22
84,1.73
85,1.17
86,0.6
87,0.17
88,0
89,0
90,0
91,0
92,0.19
93,1.24
94,3.1
95,5.1
96,6.47
97,7.05
98,7.2
99,7.12
100,7.22
101,7.67
102,8.3
103,8.85
104,9.26
105,9.52
106,9.77
107,10.75
108,12.39
109,14.1
110,15.02
111,15.06
112,14.78
113,14.46
114,14.38
115,14.55
116,14.98
117,15.69
118,16.56
119,17.45
120,18.1
121,18.58
122,19.12
123,19.91
124,20.85
125,21.78
126,22.67
127,23.5
128,24.37
129,25.27
130,26.14
131,26.83
132,27.29
133,27.87
134,28.76
135,29.93
136,30.97
137,31.81
138,32.75
139,33.77
140,34.97
141,36.2
142,37.34
143,38.35
144,39.16
145,39.53
146,39.57
147,39.69
148,39.98
149,40.4
150,40.83
151,41.43
152,42.15
153,42.88
154,43.6
155,44.4
156,45.17
157,45.84
158,46.35
159,46.8
160,47.3
161,47.74
162,48.05
163,48.1
164,48.07
165,48
166,48.02
167,48.14
168,48.25
169,48.27
170,48.26
171,48.14
172,48
173,48
174,48.25
175,48.7
176,49.13
177,49.41
178,49.57
179,49.68
180,49.76
181,49.96
182,50.15
183,50.39
184,50.57
185,50.6
186,50.6
187,50.68
188,50.89
189,51.12
190,51.31
191,51.45
192,51.57
193,51.54
194,51.37
