time,speed (kph),,,
0,0,,,
1,0,,,
2,0,,,
3,3.218688,,,
4,7.8857856,,,
5,13.0356864,,,
6,18.1855872,,,
7,23.335488,,,
8,27.8416512,,,
9,31.5431424,,,
10,35.0836992,,,
11,38.624256,,,
12,41.5210752,,,
13,43.6132224,,,
14,45.061632,,,
15,46.670976,,,
16,48.28032,,,
17,49.4068608,,,
18,50.694336,,,
19,51.8208768,,,
20,52.9474176,,,
21,53.913024,,,0
22,54.8786304,,,
23,55.6833024,,,
24,56.1661056,,,
25,56.4879744,,,
26,57.4535808,,,
27,57.7754496,,,
28,57.6145152,,,
29,56.8098432,,,
30,56.1661056,,,
31,55.522368,,,
32,55.6833024,,,
33,56.0051712,,,
34,56.4879744,,,
35,57.4535808,,,
36,58.0973184,,,
37,58.2582528,,,
38,58.741056,,,
39,59.0629248,,,
40,59.3847936,,,
41,59.545728,,,
42,59.545728,,,
43,59.545728,,,
44,59.545728,,,
45,59.545728,,,
46,59.545728,,,
47,59.7066624,,,
48,60.0285312,,,
49,60.8332032,,,
50,62.1206784,,,
51,63.2472192,,,
52,64.37376,,,
53,65.5003008,,,
54,66.6268416,,,
55,67.9143168,,,
56,69.0408576,,,
57,70.006464,,,
58,70.811136,,,
59,71.2939392,,,
60,71.615808,,,
61,72.0986112,,,
62,72.2595456,,,
63,72.42048,,,
64,72.5814144,,,
65,73.0642176,,,
66,73.5470208,,,
67,74.029824,,,
68,74.5126272,,,
69,74.834496,,,
70,75.3172992,,,
71,75.4782336,,,
72,75.639168,,,
73,75.8001024,,,
74,75.9610368,,,
75,76.1219712,,,
76,75.9610368,,,
77,75.8001024,,,
78,75.639168,,,
79,75.4782336,,,
80,75.4782336,,,
81,75.4782336,,,
82,75.639168,,,
83,75.8001024,,,
84,75.8001024,,,
85,75.9610368,,,
86,75.8001024,,,
87,75.639168,,,
88,75.4782336,,,
89,74.834496,,,
90,74.5126272,,,
91,74.3516928,,,
92,74.5126272,,,
93,74.834496,,,
94,75.4782336,,,
95,75.8001024,,,
96,76.2829056,,,
97,76.7657088,,,
98,77.248512,,,
99,77.5703808,,,
100,78.053184,,,
101,78.5359872,,,
102,79.0187904,,,
103,79.1797248,,,
104,79.0187904,,,
105,79.0187904,,,
106,78.857856,,,
107,78.857856,,,
108,79.0187904,,,
109,79.1797248,,,
110,79.3406592,,,
111,79.5015936,,,
112,79.662528,,,
113,79.662528,,,
114,79.662528,,,
115,79.5015936,,,
116,79.0187904,,,
117,78.6969216,,,
118,78.2141184,,,
119,77.8922496,,,
120,77.4094464,,,
121,76.7657088,,,
122,76.2829056,,,
123,76.1219712,,,
124,76.44384,,,
125,76.9266432,,,
126,77.0875776,,,
127,77.248512,,,
128,77.0875776,,,
129,77.0875776,,,
130,77.0875776,,,
131,77.248512,,,
132,77.248512,,,
133,77.248512,,,
134,77.0875776,,,
135,76.1219712,,,
136,74.029824,,,
137,69.6845952,,,
138,66.3049728,,,
139,63.569088,,,
140,63.0862848,,,
141,62.764416,,,
142,62.764416,,,
143,62.9253504,,,
144,63.569088,,,
145,64.5346944,,,
146,65.983104,,,
147,67.592448,,,
148,69.3627264,,,
149,70.3283328,,,
150,70.9720704,,,
151,71.2939392,,,
152,71.4548736,,,
153,71.7767424,,,
154,71.9376768,,,
155,72.2595456,,,
156,72.7423488,,,
157,73.5470208,,,
158,73.8688896,,,
159,74.5126272,,,
160,75.3172992,,,
161,75.4782336,,,
162,75.639168,,,
163,75.8001024,,,
164,76.6047744,,,
165,77.0875776,,,
166,77.248512,,,
167,77.248512,,,
168,77.0875776,,,
169,76.9266432,,,
170,76.1219712,,,
171,75.1563648,,,
172,74.3516928,,,
173,73.8688896,,,
174,73.5470208,,,
175,73.225152,,,
176,73.0642176,,,
177,72.9032832,,,
178,72.42048,,,
179,70.811136,,,
180,69.3627264,,,
181,67.9143168,,,
182,66.787776,,,
183,66.787776,,,
184,67.7533824,,,
185,69.0408576,,,
186,70.006464,,,
187,70.6502016,,,
188,70.1673984,,,
189,69.6845952,,,
190,69.201792,,,
191,69.3627264,,,
192,69.8455296,,,
193,70.6502016,,,
194,71.2939392,,,
195,71.7767424,,,
196,72.2595456,,,
197,72.0986112,,,
198,71.4548736,,,
