Discharge Current (A),Discharge Capacity (mAh),Cell Voltage (V)
10,3.947773951,3.913572361
10,9.389331446,3.872482816
10,31.98562952,3.836172327
10,72.56673625,3.806212531
10,113.147843,3.786716581
10,153.7289497,3.77237673
10,194.3100565,3.760918228
10,234.8911632,3.749459726
10,275.4722699,3.739517723
10,316.0533767,3.72957572
10,356.6344834,3.718420518
10,397.2155901,3.707416966
10,437.7966969,3.695503514
10,478.3778036,3.684045011
10,518.9589104,3.671373309
10,559.5400171,3.658549958
10,600.1211238,3.645878256
10,640.7022306,3.632903254
10,681.2833373,3.619321653
10,721.864444,3.605436751
10,762.4455508,3.5917035
10,803.0266575,3.577818598
10,843.6077643,3.563175447
10,884.188871,3.549442196
10,924.7699777,3.535102344
10,965.3510845,3.520914143
10,1005.932191,3.506119342
10,1046.513298,3.49193114
10,1087.094405,3.476529739
10,1127.675511,3.461279988
10,1168.256618,3.446788487
10,1208.837725,3.431690386
10,1249.418832,3.416743935
10,1289.999938,3.401949134
10,1330.581045,3.387457633
10,1371.162152,3.372511181
10,1411.743259,3.35877793
10,1452.324365,3.345499628
10,1492.905472,3.332221327
10,1533.486579,3.319701275
10,1574.067686,3.307029573
10,1614.648792,3.295419421
10,1655.229899,3.283960919
10,1695.811006,3.272654066
10,1736.392112,3.261802164
10,1776.973219,3.250798612
10,1817.554326,3.240250009
10,1858.135433,3.229701406
10,1898.716539,3.219304454
10,1939.297646,3.208452551
10,1979.878753,3.198207249
10,2020.45986,3.187355346
10,2061.040966,3.176806744
10,2101.622073,3.165954842
10,2142.20318,3.154799639
10,2182.784287,3.143644437
10,2223.365393,3.131579335
10,2263.9465,3.119059283
10,2304.527607,3.106387581
10,2345.108714,3.09265433
10,2385.68982,3.078769428
10,2426.270927,3.063216377
10,2466.852034,3.046450127
10,2507.43314,3.027712427
10,2548.014247,3.006548328
10,2588.595354,2.98235123
10,2629.176461,2.954211233
10,2669.757567,2.921066787
10,2706.649483,2.887205497
10,2739.852206,2.850622213
10,2771.210334,2.811818583
10,2798.879271,2.772678436
10,2824.703611,2.728484736
10,2848.180285,2.681238868
10,2867.129314,2.64130019
10,2884.140586,2.601210539
10,2900.332038,2.562786116
10,2915.088804,2.524874401
10,2928.000974,2.499547167
0.2,28.29643799,4.114154394
0.2,68.87754473,4.091625445
0.2,109.4586515,4.079560343
0.2,150.0397582,4.06976999
0.2,190.6208649,4.063164286
0.2,231.2019717,4.055193733
0.2,271.7830784,4.048436379
0.2,312.3641852,4.040920776
0.2,352.9452919,4.031282073
0.2,393.5263986,4.020430171
0.2,434.1075054,4.008516718
0.2,474.6886121,3.995086767
0.2,515.2697188,3.980443616
0.2,555.8508256,3.965800464
0.2,596.4319323,3.951157313
0.2,637.013039,3.936059212
0.2,677.5941458,3.921264411
0.2,718.1752525,3.90692456
0.2,758.7563593,3.892584708
0.2,799.337466,3.879306407
0.2,839.9185727,3.865724805
0.2,880.4996795,3.851991554
0.2,921.0807862,3.838258302
0.2,961.6618929,3.824676701
0.2,1002.243,3.811246749
0.2,1042.824106,3.797816798
0.2,1083.405213,3.784386846
0.2,1123.98632,3.770046995
0.2,1164.567427,3.757375293
0.2,1205.148533,3.743793691
0.2,1245.72964,3.73066704
0.2,1286.310747,3.716782138
0.2,1326.891854,3.703048887
0.2,1367.47296,3.690073885
0.2,1408.054067,3.677098883
0.2,1448.635174,3.664882131
0.2,1489.216281,3.652968679
0.2,1529.797387,3.641358527
0.2,1570.378494,3.631416524
0.2,1610.959601,3.621474522
0.2,1651.540707,3.612290769
0.2,1692.121814,3.603561965
0.2,1732.702921,3.595894712
0.2,1773.284028,3.586862609
0.2,1813.865134,3.580408555
0.2,1854.446241,3.571679752
0.2,1895.027348,3.564164149
0.2,1935.608455,3.556193595
0.2,1976.189561,3.547768092
0.2,2016.770668,3.538887639
0.2,2057.351775,3.528187387
0.2,2097.932882,3.516273935
0.2,2138.513988,3.501630783
0.2,2179.095095,3.485622783
0.2,2219.676202,3.469159832
0.2,2260.257309,3.45633648
0.2,2300.838415,3.444726328
0.2,2341.419522,3.432661226
0.2,2382.000629,3.419534574
0.2,2422.581735,3.405498023
0.2,2463.162842,3.387518573
0.2,2503.743949,3.361501675
0.2,2544.325056,3.334271578
